class,color_R,color_G,color_B,texture_0,texture_1,texture_2,texture_3,texture_4,edges_mean,spatial_mean,spatial_stddev,shape_area
Mossaic,142.3107593688363,133.30990466798158,103.80313116370809,0.008791913214990139,0.04090729783037475,0.0186801446416831,0.11339086127547666,0.3377859960552268,5.823002958579882,132.63911571334648,40.66615941102653,398327.5
Redrot,114.74862026260101,118.22883801462102,83.8184007070027,0.01968004520969604,0.057260605040400155,0.022295233743747596,0.08796652558676414,0.35611052327818393,19.34621789630627,113.26321722297037,53.47292054829088,146240.0
Redrot,119.5419290465632,132.12754865730474,112.04255728011826,0.03888149790588815,0.057657058388765704,0.03663710273466371,0.09823848238482384,0.18176151761517614,35.45875831485588,126.0470214338507,46.64903384932976,261878.5
Redrot,131.91841083341632,135.86672060141393,120.903860898138,0.009397092502240367,0.03216419396594643,0.021405456536891368,0.1222169670417206,0.3725629791894852,11.917181121178931,132.99255700487902,52.62111934290018,302949.0
Redrot,133.6858598424264,140.1945668360062,111.59412438795708,0.03309781043368488,0.06423054689111815,0.03220515208896352,0.09700765398356447,0.23527573337908975,25.81779352015835,134.98944130209642,47.79317548071388,362514.5
Redrot,136.6511729342274,129.27082063355266,116.2174106110609,0.012070922582136927,0.0332199987387804,0.02587076703171967,0.1317396422340403,0.3863930170474849,12.560249511277405,130.0015266012234,56.93873846580079,261217.5
Redrot,123.19273434642369,126.9754796661457,107.03285671532603,0.055528214677617795,0.0888205366940445,0.04569547434575865,0.08941575499617598,0.20790742526518805,48.479084228377616,123.5631696205899,51.90154891066385,174435.0
Redrot,141.82838400916054,146.24116425133775,135.837155531197,0.03861671751784277,0.06988101558810791,0.04541372957287459,0.12454093254613918,0.25281067948099994,19.113660330455165,143.73585362690815,52.11109553886614,320219.0
Redrot,132.8546410307688,128.36314506375643,114.50613994990906,0.02338132921940024,0.06094715691036007,0.030206934643697208,0.10343875286880172,0.326424401717948,21.152258377853325,128.12743907665057,51.72733240626419,234001.5
Redrot,136.42232340378592,144.9733918361594,110.96365430222511,0.018662074685067278,0.05682577229245694,0.03101834545673671,0.11280382556189472,0.3222782601945873,18.761329305135952,138.53522732147343,41.14258375252546,379199.0
Redrot,126.75689051733568,124.07807761526455,98.00204329193721,0.044987223211000966,0.07395374504091555,0.03959561711393714,0.10296998200312212,0.2708579837530948,38.53093026955545,121.90755222574647,53.17887310442174,178998.0
