                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1782,                 1.1826,                 1.5315,                0.78945,                0.78894,                0.85214,                 0.4768,                 1.5009,                0.96222,                 1.7915,             0.00074804,             0.00074804,             0.00074804
                     36,                  1.204,                 1.2045,                 1.5496,                0.76637,                0.76016,                0.83427,                0.47742,                   1.57,                 1.0816,                 1.8135,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.1688,                 1.1753,                 1.5253,                0.69876,                0.77605,                0.84058,                0.48771,                 1.5212,                 1.1466,                 1.8036,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.1677,                 1.2061,                 1.5199,                0.63897,                0.72409,                0.77803,                0.45991,                 1.4799,                 1.2132,                   1.75,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.1107,                 1.1139,                 1.4793,                0.70498,                0.79212,                 0.7963,                0.47024,                 1.5026,                 1.0189,                 1.7509,             0.00070404,             0.00070404,             0.00070404
                     40,                  1.144,                 1.1717,                 1.5077,                 0.7857,                0.76658,                 0.8468,                0.48762,                 1.4826,                 1.0544,                 1.7192,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.1462,                 1.1474,                 1.5042,                 0.7996,                0.77951,                0.81208,                0.46747,                 1.4415,                 1.1239,                 1.6999,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.1419,                 1.1362,                 1.4925,                0.76217,                0.77399,                0.82885,                0.50076,                 1.4292,                 1.1953,                 1.7143,             0.00067104,             0.00067104,             0.00067104
                     43,                 1.1479,                 1.1219,                 1.5166,                0.74342,                   0.86,                0.84925,                0.49096,                 1.5065,                0.96402,                 1.7775,             0.00066005,             0.00066005,             0.00066005
                     44,                 1.1105,                 1.0922,                 1.4794,                0.77444,                0.87188,                0.86717,                0.51672,                 1.4045,                0.88487,                  1.731,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.1377,                 1.1052,                 1.5026,                0.72049,                0.77579,                 0.8261,                0.47896,                 1.5006,                 1.0535,                   1.78,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.0957,                 1.0497,                 1.4573,                0.75873,                0.79629,                0.84247,                0.48492,                 1.5544,                0.96465,                 1.8321,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.1072,                  1.072,                 1.4799,                 0.7699,                0.80893,                  0.806,                0.48379,                 1.4964,                0.99963,                 1.7589,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.1187,                 1.0565,                 1.4912,                 0.7937,                0.77122,                0.86781,                0.48559,                 1.6058,                 1.0768,                 1.8841,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.1075,                 1.0501,                 1.4948,                0.84182,                0.78664,                0.84469,                 0.4913,                 1.5599,                 1.0055,                 1.8419,             0.00059405,             0.00059405,             0.00059405
                     50,                  1.112,                 1.0591,                 1.4914,                0.75838,                0.80593,                0.85776,                0.49099,                 1.5137,                0.99729,                 1.8106,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.0778,                 1.0161,                 1.4651,                0.75653,                0.76006,                0.80132,                0.46583,                 1.5091,                 1.1062,                 1.7718,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.0942,                 1.0474,                 1.4765,                0.78736,                0.76666,                 0.8228,                0.47925,                 1.5148,                 1.0129,                 1.8231,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.0694,                0.98545,                 1.4529,                0.71045,                0.78264,                0.80261,                0.45479,                 1.5414,                 1.0812,                 1.7863,             0.00055006,             0.00055006,             0.00055006
                     54,                  1.057,                 1.0006,                 1.4448,                0.80801,                0.76879,                0.85053,                0.48222,                 1.5303,                 1.0137,                 1.7927,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.0472,                0.96753,                 1.4455,                0.80184,                0.78489,                0.82292,                0.48567,                 1.5484,                0.92672,                 1.8728,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.0707,                0.97359,                 1.4433,                0.78407,                0.79552,                0.81474,                0.48033,                 1.4651,                 1.0301,                 1.7726,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.0494,                0.96291,                   1.44,                 0.7983,                0.82139,                0.86997,                0.49666,                 1.5093,                0.90112,                 1.7795,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0509,                0.99098,                 1.4397,                0.80129,                0.80595,                0.83489,                0.48345,                 1.5073,                0.92425,                 1.8124,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.0365,                0.97692,                 1.4292,                0.76681,                0.81912,                 0.8441,                 0.5117,                 1.4732,                 1.0097,                 1.7953,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.0208,                0.95378,                 1.4228,                0.80444,                0.77715,                0.84251,                0.53125,                 1.4202,                0.98501,                 1.7227,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.0145,                0.94187,                   1.41,                0.75274,                0.83556,                0.81463,                0.47536,                 1.4563,                 1.0797,                 1.7095,             0.00046206,             0.00046206,             0.00046206
                     62,                  1.002,                0.94869,                 1.4026,                0.77251,                0.86365,                0.84117,                0.49778,                 1.5419,                0.90443,                 1.8032,             0.00045107,             0.00045107,             0.00045107
                     63,                  1.009,                0.91445,                 1.4219,                0.76388,                0.76938,                0.83936,                0.49775,                  1.488,                 1.0214,                 1.7821,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.0092,                 0.9492,                 1.4233,                 0.7993,                0.83645,                 0.8268,                0.48688,                 1.4647,                 0.8923,                 1.7952,             0.00042907,             0.00042907,             0.00042907
                     65,                0.99455,                0.89573,                    1.4,                0.80335,                0.83143,                0.85507,                0.52042,                 1.4546,                0.88744,                  1.721,             0.00041807,             0.00041807,             0.00041807
                     66,                0.98575,                0.88149,                 1.3924,                0.83194,                0.81198,                0.86057,                0.53197,                 1.4652,                0.85355,                 1.7677,             0.00040707,             0.00040707,             0.00040707
                     67,                0.98945,                0.87192,                 1.3998,                0.82674,                0.81727,                0.85458,                0.52788,                 1.4626,                0.90421,                  1.748,             0.00039607,             0.00039607,             0.00039607
                     68,                0.99257,                0.88861,                 1.3906,                0.84935,                0.83599,                0.87247,                0.51159,                 1.4995,                0.85514,                 1.7788,             0.00038507,             0.00038507,             0.00038507
                     69,                0.97505,                 0.8939,                 1.3818,                0.86815,                 0.8706,                0.90178,                0.53662,                 1.4306,                0.80277,                 1.7017,             0.00037407,             0.00037407,             0.00037407
                     70,                0.96517,                0.87359,                 1.3815,                0.78169,                 0.8688,                0.85734,                  0.508,                 1.4571,                 0.9418,                 1.7816,             0.00036307,             0.00036307,             0.00036307
                     71,                0.95021,                0.83805,                 1.3626,                0.82415,                0.83136,                0.86202,                0.51368,                 1.4667,                0.86711,                 1.7542,             0.00035208,             0.00035208,             0.00035208
                     72,                 0.9443,                0.84119,                 1.3581,                0.77172,                0.83918,                0.84045,                0.49828,                 1.5034,                0.96007,                  1.775,             0.00034108,             0.00034108,             0.00034108
                     73,                0.93332,                0.85386,                 1.3605,                0.80293,                0.85001,                 0.8432,                0.50914,                 1.5116,                0.89593,                 1.8225,             0.00033008,             0.00033008,             0.00033008
                     74,                0.94469,                0.83218,                 1.3661,                0.86807,                0.81502,                0.84929,                0.51517,                 1.5331,                0.93494,                 1.8109,             0.00031908,             0.00031908,             0.00031908
                     75,                0.90753,                0.81068,                 1.3441,                0.82963,                0.84972,                0.86493,                0.50193,                 1.5315,                0.91556,                 1.7957,             0.00030808,             0.00030808,             0.00030808
                     76,                0.91024,                 0.8229,                 1.3247,                0.80366,                0.79302,                0.82489,                0.49652,                 1.5045,                0.87659,                 1.7862,             0.00029708,             0.00029708,             0.00029708
                     77,                0.91568,                0.82889,                 1.3311,                0.82248,                0.82579,                0.83525,                0.50125,                 1.4804,                0.91392,                 1.7808,             0.00028608,             0.00028608,             0.00028608
                     78,                0.87684,                 0.7809,                 1.3202,                0.83968,                0.80468,                0.84735,                0.48779,                 1.6068,                0.93374,                 1.9188,             0.00027508,             0.00027508,             0.00027508
                     79,                0.88485,                0.77419,                 1.3322,                0.83987,                0.80827,                0.84123,                0.51613,                 1.5003,                0.86356,                 1.8314,             0.00026408,             0.00026408,             0.00026408
                     80,                0.88814,                0.76384,                 1.3302,                0.83334,                0.85985,                0.87303,                0.53548,                 1.4893,                0.90248,                  1.786,             0.00025309,             0.00025309,             0.00025309
                     81,                  0.896,                 0.7665,                 1.3204,                0.78769,                0.83775,                0.84584,                0.52365,                 1.4941,                 0.8699,                 1.8413,             0.00024209,             0.00024209,             0.00024209
                     82,                 0.8603,                 0.7545,                 1.2972,                0.85194,                0.87744,                0.87036,                0.53005,                 1.4573,                0.81732,                 1.8018,             0.00023109,             0.00023109,             0.00023109
                     83,                0.85379,                0.73169,                 1.3086,                   0.79,                0.84827,                0.85514,                0.52026,                 1.4845,                0.90469,                 1.8236,             0.00022009,             0.00022009,             0.00022009
                     84,                0.84104,                0.73767,                 1.2968,                0.84613,                0.82971,                0.86289,                0.51792,                 1.4869,                0.80453,                 1.8282,             0.00020909,             0.00020909,             0.00020909
                     85,                0.83946,                0.70342,                 1.2796,                0.84195,                0.83184,                0.85088,                0.52071,                 1.5028,                0.86049,                 1.8392,             0.00019809,             0.00019809,             0.00019809
                     86,                0.82626,                0.70037,                 1.2884,                0.84994,                0.83874,                0.87683,                0.53826,                 1.4708,                0.82271,                 1.8388,             0.00018709,             0.00018709,             0.00018709
                     87,                0.85466,                0.73551,                 1.3002,                0.88179,                0.84771,                0.87979,                0.52119,                 1.5066,                0.82571,                 1.8382,             0.00017609,             0.00017609,             0.00017609
                     88,                0.83772,                0.72379,                 1.2917,                 0.8391,                0.83276,                 0.8544,                 0.5159,                 1.4992,                0.85321,                 1.8343,             0.00016509,             0.00016509,             0.00016509
                     89,                  0.806,                0.69612,                 1.2729,                0.84874,                0.82949,                0.86698,                 0.5145,                 1.4819,                0.85585,                 1.8506,              0.0001541,              0.0001541,              0.0001541
                     90,                0.80918,                0.70266,                 1.2682,                0.86044,                0.81668,                0.87508,                0.52164,                 1.4785,                0.83387,                   1.84,              0.0001431,              0.0001431,              0.0001431
                     91,                0.80237,                0.60741,                 1.3652,                0.82358,                0.84242,                 0.8642,                0.51472,                 1.4746,                0.83341,                 1.8514,              0.0001321,              0.0001321,              0.0001321
                     92,                0.75184,                0.51729,                 1.3248,                0.87648,                0.85374,                 0.8907,                0.52668,                 1.5139,                 0.7887,                 1.8866,              0.0001211,              0.0001211,              0.0001211
                     93,                0.73368,                0.48791,                 1.3111,                0.87415,                 0.8526,                0.88584,                0.52221,                 1.5294,                0.80531,                 1.8995,              0.0001101,              0.0001101,              0.0001101
                     94,                0.71791,                0.47869,                 1.3015,                 0.8428,                0.86767,                0.88456,                0.50232,                 1.5281,                 0.8675,                 1.9286,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.70035,                0.47876,                 1.2879,                0.86566,                0.85936,                0.87436,                0.51221,                 1.5036,                0.87076,                 1.9036,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                 0.6755,                0.46033,                  1.267,                0.87159,                0.84275,                0.87321,                0.51676,                 1.5152,                0.83517,                 1.9328,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.67521,                0.46176,                 1.2543,                0.86003,                0.88813,                0.87713,                0.52068,                 1.4814,                0.84506,                 1.9203,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.66879,                0.44578,                 1.2569,                0.85579,                0.87467,                0.87338,                0.51251,                 1.5158,                 0.8411,                   1.98,             5.5106e-05,             5.5106e-05,             5.5106e-05
                     99,                0.65222,                0.44152,                  1.247,                0.85376,                0.87444,                0.87356,                0.51231,                 1.5091,                0.84809,                  1.972,             4.4107e-05,             4.4107e-05,             4.4107e-05
                    100,                0.64673,                0.43332,                 1.2437,                0.87443,                0.88076,                0.87829,                0.52292,                 1.4999,                0.84037,                 1.9608,             3.3108e-05,             3.3108e-05,             3.3108e-05
