class,color_R,color_G,color_B,texture_0,texture_1,texture_2,texture_3,texture_4,edges_mean,spatial_mean,spatial_stddev,shape_area
Healthy,129.21901427679828,163.59570915899516,109.63009439850211,0.0016110157590887813,0.014085660789514745,0.0036082072086128882,0.0758133094086441,0.14857817132157902,0.651027851458886,147.14510259010765,25.35322741188104,468643.5
Healthy,101.65143548135435,112.74541660165393,81.37291504134811,0.010448197846777968,0.046532220315181776,0.01049500702137619,0.09247347480106101,0.2452215634264316,3.7957559681697615,105.83573100327665,47.088921921540255,159075.0
Healthy,128.78054493680762,146.10975776252147,119.65881182711813,0.00504368856295834,0.03759946949602122,0.009258464659073179,0.08881455765330004,0.21147214854111407,1.223474801061008,137.9063621469808,31.51375649257449,375532.0
Healthy,134.3169488219691,150.79905016383213,122.45138672179748,0.014717584646590731,0.042440318302387266,0.01625448587923233,0.12076376969886098,0.26425924481198315,1.3383620689655173,142.6691664066157,29.31322355508851,412421.5
Healthy,151.29943828990483,157.07029567795288,105.03702800748948,0.006385551568107349,0.03682516773287564,0.013270400998595725,0.09571891090653768,0.30555858948353876,1.233919098143236,149.41214112966142,45.76137481876197,391956.0
Healthy,121.64891753783742,144.32752964581059,104.70033156498674,0.015058901544702762,0.05424598221251365,0.012882274925885473,0.09132860040567951,0.2885161491652364,4.205570291777188,133.01346933999065,34.921329987171184,354434.0
Healthy,124.15852707130598,147.19284794819785,119.8555078795444,0.004712123576220939,0.043238024652831955,0.008915197378686223,0.0861444843189265,0.20954712123576222,2.022214854111406,137.15789124668436,29.732350691212517,327377.5
Healthy,113.31444063036356,140.45367452020596,87.5787037759401,0.005264081760024965,0.03457052582306132,0.010867530035887033,0.09694180059291621,0.2580024184740209,1.988892572944297,126.31664651271649,42.788397807085026,190263.0
Healthy,120.5108129193322,141.6906342643158,116.47420424403184,0.008302777344359495,0.06188562958339835,0.012111873927289749,0.07427250741145265,0.23483772819472618,1.8536140583554377,132.47509946949603,34.97745752483946,258884.5
Healthy,129.50605398658138,148.58234318926512,124.95240872210954,0.011384381338742394,0.07830199719144952,0.01070369792479326,0.06476439382118895,0.22278046497113435,2.588693633952255,140.15984552972384,31.56803269590058,360854.0
Healthy,120.55873186144485,144.2552835855828,121.89774535809019,0.012219144952410672,0.08141285691995631,0.009498361678889062,0.07493758776720237,0.24499531908254019,5.8309018567639255,134.60947300670932,33.25995268641346,284634.0
Healthy,121.24713683882042,137.25689460134188,111.32908019971916,0.013876969886097676,0.09149633328132314,0.014077859260415042,0.0772975503198627,0.23502301451084412,2.6115716180371353,129.50314596660945,32.38928779293743,232072.0
Healthy,125.33832891246685,135.7467428616009,97.80727102512093,0.010089327508191605,0.06231861444843189,0.0127184428147917,0.09055234826025901,0.2501501794351693,7.911803713527852,128.30065727882666,45.080141440793255,255520.0
